seg_id,seg_label,xs,ys,zs,xe,ye,ze,xm,ym,zm,diameter
206,basal3_0122,-14.956008954733377,-82.93757206953089,-70.8051466137429,-14.421931367400186,-90.3009177633228,-82.62444663173389,-14.698888822356748,-86.10545312350965,-77.0447557183562,0.5
207,basal3_0122,-14.421931367400184,-90.3009177633228,-82.6244466317339,-14.171491397680198,-96.96520784689747,-95.08955670618953,-14.179999351501465,-93.35972596292362,-88.99291570534496,0.5
208,basal3_0122,-14.171491397680198,-96.96520784689747,-95.08955670618953,-14.696816560039656,-106.09863954534686,-105.72045646356158,-13.713494622651714,-101.05856608066738,-100.85268916167554,0.5
209,basal3_0122,-14.69681656003966,-106.09863954534688,-105.7204564635616,-14.375128675234143,-117.15578421168082,-114.44518138928002,-15.106490423003871,-111.82369734486315,-109.85806724989709,0.5
210,basal3_0122,-14.37512867523414,-117.15578421168082,-114.44518138928002,-15.286761482568776,-130.42651597403935,-118.52396784362595,-14.606698698984497,-123.7480390638172,-116.54259689803992,0.5
211,basal3_0122,-15.286761482568776,-130.42651597403935,-118.52396784362595,-16.759998321533203,-142.86915588378906,-125.04249572753906,-16.28508489447678,-136.49380099532536,-121.99153757339666,0.5
212,basal3_02,-0.34999990463256836,-14.859167098999023,-12.15250015258789,-4.340000152587891,-38.6591682434082,-23.13250160217285,-2.911092596913198,-26.536806161717735,-17.753084502850967,1.0
213,basal3_021,-4.340000152587891,-38.6591682434082,-23.13250160217285,-5.052643109234256,-62.37615239016397,-38.5315465846561,-4.513538443847025,-50.247681186043806,-31.29845127207156,1.0
214,basal3_021,-5.052643109234258,-62.37615239016398,-38.5315465846561,-5.502240371617292,-83.01862018255223,-56.04395308680086,-7.931212692922129,-74.35922714416786,-45.52792299595729,1.0
215,basal3_021,-5.5022403716172885,-83.01862018255224,-56.04395308680087,-1.5199999809265137,-104.6291732788086,-73.75249481201172,-3.527149167975032,-93.23308242668844,-65.5658439329272,1.0
216,basal3_0211,-1.5199999809265137,-104.6291732788086,-73.75249481201172,-16.516302370354317,-107.41650587538565,-72.47170517443836,-9.018151175640416,-106.02283957709713,-73.11209999322504,0.884821025182491
217,basal3_0211,-16.516302370354317,-107.41650587538565,-72.47170517443836,-31.512604759782125,-110.20383847196273,-71.19091553686499,-24.01445356506822,-108.81017217367419,-71.83131035565168,0.6544630755474727
