seg_id,xs,ys,zs,ds,as,xe,ye,ze,de,ae,segment,length
97,130.76,46.19,-17.61,0.5,107.18,134.08,42.93,-13.05,0.5,113.695,basal2_01112,6.51487528660374
98,134.08,42.93,-13.05,0.5,113.695,144.42,39.71,-2.79,0.5,128.613,basal2_01112,14.9181634258376
99,53.37,38.11,17.25,1,0,59.87,35.7,13.53,0.5,7.86743,basal2_0112,7.86743287229068
100,59.87,35.7,13.53,0.5,7.86743,69.4,35.72,20.37,0.5,19.598,basal2_0112,11.7305967452641
101,69.4,35.72,20.37,0.5,19.598,73.41,33.34,25.17,0.5,26.2902,basal2_0112,6.69212223438872
102,73.41,33.34,25.17,0.5,26.2902,84.57,34.03,27.99,0.5,37.8216,basal2_0112,11.5314396325871
103,84.57,34.03,27.99,0.5,37.8216,95.9,37.76,28.35,0.5,49.7552,basal2_0112,11.9336247636667
104,95.9,37.76,28.35,0.5,49.7552,103.67,36.62,24.81,0.5,58.3694,basal2_0112,8.61418016992911
105,103.67,36.62,24.81,0.5,58.3694,110.84,39.69,29.85,0.5,67.6557,basal2_0112,9.28630173965934
106,28.8,35.66,15.51,1,0,30.31,40.45,16.35,1,5.09213,basal2_012,5.09213118448455
107,30.31,40.45,16.35,1,0,31.42,43.28,16.29,0.5,3.04049,basal2_0121,3.04049338101565
108,31.42,43.28,16.29,0.5,3.04049,28.77,52.03,18.51,0.5,12.4486,basal2_0121,9.408156036121
109,28.77,52.03,18.51,0.5,12.4486,29.1,60.65,18.03,0.5,21.0883,basal2_0121,8.63965855806813
110,29.1,60.65,18.03,0.5,21.0883,33.95,69.33,21.33,0.5,31.5647,basal2_0121,10.4763972815086
111,33.95,69.33,21.33,0.5,31.5647,36.11,84.2,21.33,0.5,46.5908,basal2_0121,15.0260606946731
112,36.11,84.2,21.33,0.5,46.5908,37.98,93.01,15.39,0.5,57.3795,basal2_0121,10.7887255966588
113,37.98,93.01,15.39,0.5,57.3795,48.86,99.38,13.35,0.5,70.1511,basal2_0121,12.7715660746832
114,48.86,99.38,13.35,0.5,70.1511,52.17,107.88,17.73,0.5,80.2699,basal2_0121,10.1188191010612
115,52.17,107.88,17.73,0.5,80.2699,53.5,118.84,20.25,0.5,91.5942,basal2_0121,11.3243498709639
116,53.5,118.84,20.25,0.5,91.5942,54.09,126.39,25.77,0.5,100.966,basal2_0121,9.3712859309702
117,54.09,126.39,25.77,0.5,100.966,50.09,128.77,25.65,0.5,105.622,basal2_0121,4.65604982791207
118,3.35,15,-1.23,2.5,0,5.5,22.72,2.07,1.5,8.66665,basal2_02,8.66665448717093
119,5.5,22.72,2.07,1.5,8.66665,8.57,27.69,2.07,1.5,14.5084,basal2_02,5.84172919605146
120,8.57,27.69,2.07,1.5,0,13.61,30.2,2.79,0.5,5.67628,basal2_021,5.67627518712756
121,13.61,30.2,2.79,0.5,5.67628,17.59,32.42,7.05,0.5,11.9146,basal2_021,6.23830105076695
122,17.59,32.42,7.05,0.5,11.9146,21.29,35.72,13.53,0.5,20.0736,basal2_021,8.15906857429204
123,21.29,35.72,13.53,0.5,20.0736,28.67,39.78,13.95,0.5,28.5072,basal2_021,8.43352832449148
124,28.67,39.78,13.95,0.5,28.5072,33.61,41.8,21.63,0.5,37.8595,basal2_021,9.35234729894052
125,33.61,41.8,21.63,0.5,37.8595,37.76,42.45,25.71,0.5,43.7154,basal2_021,5.85588592785071
126,37.76,42.45,25.71,0.5,43.7154,43.49,45.83,31.83,0.5,52.7549,basal2_021,9.03945241704385
127,43.49,45.83,31.83,0.5,52.7549,47.16,46.58,33.93,0.5,57.0492,basal2_021,4.29434511887435
128,47.16,46.58,33.93,0.5,57.0492,50.55,48.42,37.35,0.5,62.2042,basal2_021,5.15500727448566
129,50.55,48.42,37.35,0.5,62.2042,49.44,47.55,51.63,0.5,76.5537,basal2_021,14.3494738579503
130,49.44,47.55,51.63,0.5,76.5537,57.28,50.05,56.91,0.5,86.3309,basal2_021,9.77721841834374
131,57.28,50.05,56.91,0.5,86.3309,62.67,54.05,63.51,0.5,95.7443,basal2_021,9.41340002337094
132,62.67,54.05,63.51,0.5,95.7443,69.53,58.05,70.95,0.5,106.626,basal2_021,10.8817829421469
133,69.53,58.05,70.95,0.5,106.626,75.42,58.55,77.07,0.5,115.135,basal2_021,8.50861328302091
134,75.42,58.55,77.07,0.5,115.135,80.32,61.55,84.21,0.5,124.299,basal2_021,9.16458400583463
135,80.32,61.55,84.21,0.5,124.299,84.73,63.54,91.89,0.5,133.376,basal2_021,9.07692679269808
136,84.73,63.54,91.89,0.5,133.376,88.16,65.55,99.33,0.5,141.812,basal2_021,8.43555570190843
137,88.16,65.55,99.33,0.5,141.812,95.02,72.05,107.43,0.5,154.258,basal2_021,12.4466702374571
